year,month,day,hour,DEWP,TEMP,PRES,Iws,Is,Ir,season,time_of_day,wind_NE,wind_NW,wind_SE,wind_cv,temp_dewp_gap,wind_pressure,precip_total,is_heating_season,cluster,air_quality,pm2.5
2010,6,25,16,14,31.0,1006.0,11.17,0,0,2,2,0,0,1,0,17.0,11237.02,0,0,1,Unhealthy_Sensitive,107.0
2014,7,22,14,16,30.0,1007.0,12.07,0,0,2,2,0,1,0,0,14.0,12154.49,0,0,0,Good,17.0
2014,3,30,20,-9,21.0,1015.0,16.09,0,0,1,3,0,0,1,0,30.0,16331.35,0,1,1,Good,24.0
2014,12,11,9,-16,-2.0,1035.0,3.13,0,0,0,1,1,0,0,0,14.0,3239.55,0,1,5,Good,13.0
2011,12,24,12,-17,3.0,1027.0,9.84,0,0,0,1,0,1,0,0,20.0,10105.68,0,1,2,Good,22.0
2014,12,11,5,-16,-3.0,1034.0,52.09,0,0,0,0,0,1,0,0,13.0,53861.060000000005,0,1,3,Good,14.0
2011,5,23,7,10,17.0,1013.0,10.29,0,0,1,1,0,0,1,0,7.0,10423.77,0,0,1,Unhealthy,123.0
2011,2,6,21,-12,3.0,1020.0,4.92,0,0,0,3,0,0,1,0,15.0,5018.4,0,1,2,Moderate,41.0
2011,12,13,1,-4,-1.0,1029.0,0.89,0,0,0,0,0,0,0,1,3.0,915.81,0,1,2,Unhealthy_Sensitive,81.0
2010,8,20,1,22,24.0,1014.0,0.89,0,0,2,0,0,0,0,1,2.0,902.46,0,0,4,Very_Unhealthy,154.0
2011,11,25,1,-7,-4.0,1030.0,8.49,0,0,3,0,0,1,0,0,3.0,8744.7,0,1,0,Hazardous,280.0
2010,5,29,20,13,23.0,1002.0,0.89,0,0,1,3,0,0,0,1,10.0,891.78,0,0,4,Good,34.0
2014,9,19,8,13,16.0,1014.0,1.79,0,0,3,1,0,0,1,0,3.0,1815.06,0,0,1,Unhealthy_Sensitive,110.0
2013,3,5,8,-6,1.0,1019.0,0.89,0,0,1,1,0,0,0,1,7.0,906.91,0,1,2,Unhealthy,130.0
