No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,season,time_of_day
1,2010,1,1,0,,-21,-11.0,1021.0,NW,1.79,0,0,Winter,Night
2,2010,1,1,1,,-21,-12.0,1020.0,NW,4.92,0,0,Winter,Night
3,2010,1,1,2,,-21,-11.0,1019.0,NW,6.71,0,0,Winter,Night
4,2010,1,1,3,,-21,-14.0,1019.0,NW,9.84,0,0,Winter,Night
5,2010,1,1,4,,-20,-12.0,1018.0,NW,12.97,0,0,Winter,Night
6,2010,1,1,5,,-19,-10.0,1017.0,NW,16.1,0,0,Winter,Night
7,2010,1,1,6,,-19,-9.0,1017.0,NW,19.23,0,0,Winter,Night
8,2010,1,1,7,,-19,-9.0,1017.0,NW,21.02,0,0,Winter,Morning
9,2010,1,1,8,,-19,-9.0,1017.0,NW,24.15,0,0,Winter,Morning
10,2010,1,1,9,,-20,-8.0,1017.0,NW,27.28,0,0,Winter,Morning
11,2010,1,1,10,,-19,-7.0,1017.0,NW,31.3,0,0,Winter,Morning
12,2010,1,1,11,,-18,-5.0,1017.0,NW,34.43,0,0,Winter,Morning
13,2010,1,1,12,,-19,-5.0,1015.0,NW,37.56,0,0,Winter,Morning
14,2010,1,1,13,,-18,-3.0,1015.0,NW,40.69,0,0,Winter,Afternoon
15,2010,1,1,14,,-18,-2.0,1014.0,NW,43.82,0,0,Winter,Afternoon
16,2010,1,1,15,,-18,-1.0,1014.0,cv,0.89,0,0,Winter,Afternoon
17,2010,1,1,16,,-19,-2.0,1015.0,NW,1.79,0,0,Winter,Afternoon
18,2010,1,1,17,,-18,-3.0,1015.0,NW,2.68,0,0,Winter,Afternoon
19,2010,1,1,18,,-18,-5.0,1016.0,NE,1.79,0,0,Winter,Afternoon
20,2010,1,1,19,,-17,-4.0,1017.0,NW,1.79,0,0,Winter,Evening
21,2010,1,1,20,,-17,-5.0,1017.0,cv,0.89,0,0,Winter,Evening
22,2010,1,1,21,,-17,-5.0,1018.0,NW,1.79,0,0,Winter,Evening
23,2010,1,1,22,,-17,-5.0,1018.0,NW,2.68,0,0,Winter,Evening
24,2010,1,1,23,,-17,-5.0,1020.0,cv,0.89,0,0,Winter,Evening
25,2010,1,2,0,129.0,-16,-4.0,1020.0,SE,1.79,0,0,Winter,Night
26,2010,1,2,1,148.0,-15,-4.0,1020.0,SE,2.68,0,0,Winter,Night
27,2010,1,2,2,159.0,-11,-5.0,1021.0,SE,3.57,0,0,Winter,Night
28,2010,1,2,3,181.0,-7,-5.0,1022.0,SE,5.36,1,0,Winter,Night
29,2010,1,2,4,138.0,-7,-5.0,1022.0,SE,6.25,2,0,Winter,Night
30,2010,1,2,5,109.0,-7,-6.0,1022.0,SE,7.14,3,0,Winter,Night
31,2010,1,2,6,105.0,-7,-6.0,1023.0,SE,8.93,4,0,Winter,Night
32,2010,1,2,7,124.0,-7,-5.0,1024.0,SE,10.72,0,0,Winter,Morning
33,2010,1,2,8,120.0,-8,-6.0,1024.0,SE,12.51,0,0,Winter,Morning
34,2010,1,2,9,132.0,-7,-5.0,1025.0,SE,14.3,0,0,Winter,Morning
35,2010,1,2,10,140.0,-7,-5.0,1026.0,SE,17.43,1,0,Winter,Morning
36,2010,1,2,11,152.0,-8,-5.0,1026.0,SE,20.56,0,0,Winter,Morning
37,2010,1,2,12,148.0,-8,-5.0,1026.0,SE,23.69,0,0,Winter,Morning
38,2010,1,2,13,164.0,-8,-5.0,1025.0,SE,27.71,0,0,Winter,Afternoon
39,2010,1,2,14,158.0,-9,-5.0,1025.0,SE,31.73,0,0,Winter,Afternoon
40,2010,1,2,15,154.0,-9,-5.0,1025.0,SE,35.75,0,0,Winter,Afternoon
41,2010,1,2,16,159.0,-9,-5.0,1026.0,SE,37.54,0,0,Winter,Afternoon
42,2010,1,2,17,164.0,-8,-5.0,1027.0,SE,39.33,0,0,Winter,Afternoon
43,2010,1,2,18,170.0,-8,-5.0,1027.0,SE,42.46,0,0,Winter,Afternoon
44,2010,1,2,19,149.0,-8,-5.0,1028.0,SE,44.25,0,0,Winter,Evening
45,2010,1,2,20,154.0,-7,-5.0,1028.0,SE,46.04,0,0,Winter,Evening
46,2010,1,2,21,164.0,-7,-5.0,1027.0,SE,49.17,1,0,Winter,Evening
47,2010,1,2,22,156.0,-8,-6.0,1028.0,SE,52.3,2,0,Winter,Evening
48,2010,1,2,23,126.0,-8,-6.0,1027.0,SE,55.43,3,0,Winter,Evening
49,2010,1,3,0,90.0,-7,-6.0,1027.0,SE,58.56,4,0,Winter,Night
50,2010,1,3,1,63.0,-8,-6.0,1026.0,SE,61.69,5,0,Winter,Night
51,2010,1,3,2,65.0,-8,-7.0,1026.0,SE,65.71,6,0,Winter,Night
52,2010,1,3,3,55.0,-8,-7.0,1025.0,SE,68.84,7,0,Winter,Night
53,2010,1,3,4,65.0,-8,-7.0,1024.0,SE,72.86,8,0,Winter,Night
54,2010,1,3,5,83.0,-9,-8.0,1024.0,SE,76.88,9,0,Winter,Night
55,2010,1,3,6,91.0,-10,-8.0,1024.0,SE,80.9,10,0,Winter,Night
56,2010,1,3,7,86.0,-10,-9.0,1024.0,SE,84.92,11,0,Winter,Morning
57,2010,1,3,8,82.0,-10,-9.0,1024.0,SE,89.84,12,0,Winter,Morning
58,2010,1,3,9,86.0,-11,-9.0,1023.0,SE,93.86,13,0,Winter,Morning
59,2010,1,3,10,78.0,-11,-9.0,1023.0,SE,97.88,15,0,Winter,Morning
60,2010,1,3,11,98.0,-11,-9.0,1022.0,SE,102.8,16,0,Winter,Morning
61,2010,1,3,12,107.0,-11,-9.0,1021.0,SE,105.93,17,0,Winter,Morning
62,2010,1,3,13,90.0,-11,-9.0,1020.0,SE,111.74,19,0,Winter,Afternoon
63,2010,1,3,14,96.0,-11,-9.0,1020.0,SE,116.66,20,0,Winter,Afternoon
64,2010,1,3,15,95.0,-11,-9.0,1020.0,SE,121.58,21,0,Winter,Afternoon
